book,bookLabel,authorLabel,publisherLabel,countryLabel,year,languageLabel,genreLabel
http://www.wikidata.org/entity/Q3015377,В океане ночи,Грегори Бенфорд,Dial Press,США,1977,английский язык,научная фантастика
http://www.wikidata.org/entity/Q23307461,Omnibus of Science Fiction,Энтони Бучер,Crown Publishing Group,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7962654,Wall of Serpents,Флетчер Прэтт,Avalon Books,США,1960,английский язык,фэнтези
http://www.wikidata.org/entity/Q3107329,Автостопом по галактике,Дуглас Адамс,Pan Books,Великобритания,1979,английский язык,научная фантастика
http://www.wikidata.org/entity/Q782075,Снежная королева,Джоан Виндж,Dial Press,США,1980,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7882210,Unaccompanied Sonata and Other Stories,Орсон Скотт Кард,Dial Press,США,1980,английский язык,научная фантастика
http://www.wikidata.org/entity/Q190192,Дюна,Фрэнк Герберт,Chilton Company,США,1965,американский вариант английского языка,научная фантастика
http://www.wikidata.org/entity/Q7769748,Башня Занида,Лайон Спрэг де Камп,Avalon Books,США,1958,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5284128,Divine Right's Trip,Gurney Norman,Dial Press,США,1972,английский язык,фэнтези
http://www.wikidata.org/entity/Q7558537,Solomon's Stone,Лайон Спрэг де Камп,Avalon Books,США,1957,английский язык,фэнтези
http://www.wikidata.org/entity/Q4753304,And Having Writ...,Дональд Рональд Бенсен,Bobbs-Merrill Company,США,1978,английский язык,научная фантастика
http://www.wikidata.org/entity/Q23307461,Omnibus of Science Fiction,Альфред ван Вогт,Crown Publishing Group,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3106001,Царь Гильгамеш,Роберт Силверберг,Arbor House,США,1984,английский язык,фэнтези
http://www.wikidata.org/entity/Q1197167,Оса,Эрик Фрэнк Рассел,Perseus Books Group,США,1957,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5663569,Арфист на ветру,Патриция Маккиллип,Atheneum Books,США,1979,английский язык,фэнтези
http://www.wikidata.org/entity/Q6012259,In the Hand of the Goddess,Tamora Pierce,Atheneum Books,США,1984,английский язык,фэнтези
http://www.wikidata.org/entity/Q1809069,Языки Пао,Джек Вэнс,Avalon Books,США,1958,английский язык,фэнтези
http://www.wikidata.org/entity/Q3416949,Свободное радио Альбемута,Филип Дик,Arbor House,США,1985,американский вариант английского языка,научная фантастика
http://www.wikidata.org/entity/Q7760677,Мастер загадок,Патриция Маккиллип,Atheneum Books,США,1976,английский язык,фэнтези
http://www.wikidata.org/entity/Q23307461,Omnibus of Science Fiction,Артур Чарльз Кларк,Crown Publishing Group,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7769471,The Titan,P. Schuyler Miller,Fantasy Press,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7144662,Path of Unreason,George O. Smith,Gnome Press,США,1958,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7756925,The Philosophical Corps,Everett B. Cole,Gnome Press,США,1962,английский язык,научная фантастика
http://www.wikidata.org/entity/Q6810803,Mel Oliver and Space Rover on Mars,Joseph Samachson,Gnome Press,США,1954,английский язык,научная фантастика
http://www.wikidata.org/entity/Q393018,"Я, робот",Айзек Азимов,Gnome Press,США,1950,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7353468,Robots Have No Tails,Lewis Padgett,Gnome Press,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7712491,The Adventures of Alyx,Джоанна Расс,Gregg Press,США,1976,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7861456,Tyrant of Time,Ллойд Артур Эшбах,Fantasy Press,США,1955,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7602114,Поиски Звёздного Человека,Роберт Силверберг,Gnome Press,США,1958,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5582823,Good News,Эдвард Эбби,Dutton,США,1980,английский язык,научная фантастика
