book,bookLabel,author,authorLabel,genreLabel,pubDate,publisherLabel
http://www.wikidata.org/entity/Q438247,Континуум Гернсбека,http://www.wikidata.org/entity/Q188987,Уильям Гибсон,научная фантастика,1981-06-01T00:00:00Z,
http://www.wikidata.org/entity/Q547210,Последний защитник Камелота,http://www.wikidata.org/entity/Q295406,Роджер Желязны,научная фантастика,1980-01-01T00:00:00Z,Pocket Books
http://www.wikidata.org/entity/Q1059912,Симулякры,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1964-01-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q1723311,Поле боя — Земля,http://www.wikidata.org/entity/Q216896,Лафайет Рональд Хаббард,научная фантастика,1982-01-01T00:00:00Z,St. Martin's Press
http://www.wikidata.org/entity/Q286725,Симулакрон-3,http://www.wikidata.org/entity/Q1160619,Дэниэл Ф. Галуйе,научная фантастика,1964-07-01T00:00:00Z,Bantam Books
http://www.wikidata.org/entity/Q1083082,The Atrocity Exhibition,http://www.wikidata.org/entity/Q140201,Джеймс Баллард,научная фантастика,1970-01-01T00:00:00Z,RE/Search
http://www.wikidata.org/entity/Q664034,Двери в песке,http://www.wikidata.org/entity/Q295406,Роджер Желязны,научная фантастика,1976-03-01T00:00:00Z,
http://www.wikidata.org/entity/Q749783,Человек в высоком замке,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1962-10-01T00:00:00Z,
http://www.wikidata.org/entity/Q135165,Умирающий свет,http://www.wikidata.org/entity/Q181677,Джордж Р. Р. Мартин,научная фантастика,1977-04-01T00:00:00Z,
http://www.wikidata.org/entity/Q471741,Молот Люцифера,http://www.wikidata.org/entity/Q316610,Ларри Нивен,научная фантастика,1977-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1032182,Что может быть проще времени?,http://www.wikidata.org/entity/Q294625,Клиффорд Дональд Саймак,научная фантастика,1961-01-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q591997,Предпоследняя правда,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1964-01-01T00:00:00Z,Belmont Books
http://www.wikidata.org/entity/Q835341,2001: Космическая одиссея,http://www.wikidata.org/entity/Q47087,Артур Чарльз Кларк,научная фантастика,1968-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q832020,Точка зрения,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1975-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q923895,Совершенный робот,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1982-01-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q831807,Заминка на праздновании Трехсотлетия,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1976-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q786025,Фонтаны рая,http://www.wikidata.org/entity/Q47087,Артур Чарльз Кларк,научная фантастика,1979-01-01T00:00:00Z,Victor Gollancz
http://www.wikidata.org/entity/Q371975,Барьер Сантароги,http://www.wikidata.org/entity/Q7934,Фрэнк Герберт,научная фантастика,1968-01-01T00:00:00Z,Berkley Books
http://www.wikidata.org/entity/Q467720,Обделённые,http://www.wikidata.org/entity/Q181659,Урсула Крёбер Ле Гуин,научная фантастика,1974-05-01T00:00:00Z,
http://www.wikidata.org/entity/Q1704114,Глазам дано не только видеть,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1965-04-01T00:00:00Z,
http://www.wikidata.org/entity/Q605249,Мечтают ли андроиды об электроовцах?,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1968-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q598315,Змея сновидений,http://www.wikidata.org/entity/Q242162,Вонда Макинтайр,научная фантастика,1978-03-01T00:00:00Z,Houghton Mifflin Harcourt
http://www.wikidata.org/entity/Q1125771,Конго,http://www.wikidata.org/entity/Q172140,Майкл Крайтон,научная фантастика,1980-11-12T00:00:00Z,Alfred A. Knopf
http://www.wikidata.org/entity/Q1751584,Последняя база,http://www.wikidata.org/entity/Q234030,Кэролайн Черри,научная фантастика,1981-02-01T00:00:00Z,DAW Books
http://www.wikidata.org/entity/Q831520,Странник в раю,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1974-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q353231,На волне шока,http://www.wikidata.org/entity/Q378807,Джон Браннер,научная фантастика,1975-03-01T00:00:00Z,Harper
http://www.wikidata.org/entity/Q440784,Роботы зари,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1983-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q721,"Жизнь, Вселенная и всё остальное",http://www.wikidata.org/entity/Q42,Дуглас Адамс,научная фантастика,1982-08-01T00:00:00Z,Pan Books
http://www.wikidata.org/entity/Q831586,Женская интуиция,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1969-10-01T00:00:00Z,
http://www.wikidata.org/entity/Q1958175,Вист: Аластор 1716,http://www.wikidata.org/entity/Q312632,Джек Вэнс,научная фантастика,1978-01-01T00:00:00Z,DAW Books
http://www.wikidata.org/entity/Q401619,Бог-император Дюны,http://www.wikidata.org/entity/Q7934,Фрэнк Герберт,научная фантастика,1981-05-01T00:00:00Z,G. P. Putnam's Sons
http://www.wikidata.org/entity/Q437793,Друг моего врага,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1970-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1148208,Чоки,http://www.wikidata.org/entity/Q313673,Джон Уиндем,научная фантастика,1968-01-01T00:00:00Z,Michael Joseph
http://www.wikidata.org/entity/Q721,"Жизнь, Вселенная и всё остальное",http://www.wikidata.org/entity/Q42,Дуглас Адамс,научная фантастика,1982-08-01T00:00:00Z,Harmony Books
http://www.wikidata.org/entity/Q1189364,Всевышнее вторжение,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1981-06-01T00:00:00Z,Simon & Schuster
