bookLabel,authorLabel,publisherLabel,countryLabel,year,languageLabel
Weird Tales 1,Лин Картер,Kensington Books,США,1980,английский язык
Повелитель Дракона,Дэвид Дрейк,Tor Books,США,1979,английский язык
Наследница Моря и Огня,Патриция Маккиллип,Atheneum Books,США,1977,английский язык
Дети морского царя,Пол Уильям Андерсон,Berkley Books,США,1979,английский язык
The Great Victorian Collection,Браян Мур,"Farrar, Straus and Giroux",США,1975,английский язык
The Forgotten Beasts of Eld,Патриция Маккиллип,Atheneum Books,США,1974,английский язык
Книга Мерлина,Теренс Хэнбери Уайт,Издательство Техасского университета,США,1977,английский язык
The Last of the Really Great Whangdoodles,Джули Эндрюс,"William Collins, Sons",Великобритания,1974,английский язык
Камбер Кулдский,Кэтрин Куртц,Ballantine Books,США,1976,английский язык
Romance of Atlantis,Taylor Caldwell,Fawcett Publications,США,1975,английский язык
Плавучие театры Большой планеты,Джек Вэнс,Jove Books,США,1975,английский язык
The Book of Fritz Leiber,Фриц Лейбер,DAW Books,США,1974,английский язык
Снежная королева,Джоан Виндж,Dial Press,США,1980,английский язык
The Adventures of Alyx,Джоанна Расс,Gregg Press,США,1976,английский язык
Последнее волшебство,Мэри Стюарт,Hodder & Stoughton,Великобритания,1979,английский язык
Out of the Storm,Уильям Ходжсон,"Donald M. Grant, Publisher",США,1975,английский язык
Worms of the Earth,Роберт Ирвин Говард,"Donald M. Grant, Publisher",США,1974,английский язык
The Best of Fritz Leiber,Фриц Лейбер,Sphere Books,Великобритания,1974,английский язык
Туман,Стивен Кинг,New American Library,США,1980,английский язык
The Three Palladins,Гарольд Альберт Лэмб,"Donald M. Grant, Publisher",США,1977,английский язык
Малафрена,Урсула Крёбер Ле Гуин,Berkley Books,США,1979,английский язык
The First Two Lives of Lukas-Kasha,Ллойд Александер,Dutton,США,1978,английский язык
Master of the Five Magics,Lyndon Hardy,Del Rey Books,,1980,английский язык
The Forbidden Fountain of Oz,Элоиза Джарвис Мак-Гроу,The International Wizard of Oz Club,,1980,английский язык
Меч Шаннары,Терренс Дин Брукс,Del Rey Books,,1977,английский язык
And the Devil Will Drag You Under,Джек Чалкер,Del Rey Books,,1979,английский язык
The Purple Pterodactyls,Лайон Спрэг де Камп,Phantasia Press,,1980,английский язык
Замок Ругна,Пирс Энтони,Del Rey Books,,1979,английский язык
Sorcerer's Son,Phyllis Eisenstein,Del Rey Books,,1979,английский язык
"Сила, которая защищает",Стивен Дональдсон,Holt McDougal,,1979,английский язык
Меч Шаннары,Терренс Дин Брукс,Del Rey Books,,1977,американский вариант английского языка
Источник магии,Пирс Энтони,Del Rey Books,,1979,английский язык
Чёрным по чёрному,Тим Пауэрс,Grafton,,1979,английский язык
Проклятие лорда Фаула,Стивен Дональдсон,Holt McDougal,,1977,английский язык
Раненая Страна,Стивен Дональдсон,Del Rey Books,,1980,английский язык
The Enchanted Island of Oz,Рут Пламли Томпсон,The International Wizard of Oz Club,,1976,английский язык
"Far Lands, Other Days",Эдгар Хоффман Прайс,Каркоза,,1975,английский язык
Фаэты,"Казанцев, Александр Петрович",Детская литература,,1974,русский язык
Война Иллеарта,Стивен Дональдсон,Holt McDougal,,1978,английский язык
Roderick,John Sladek,Гранада,,1980,английский язык
Flashing Swords! 3: Warriors and Wizards,Лин Картер,Nelson Doubleday,,1976,английский язык
Flashing Swords! 4: Barbarians and Black Magicians,Лин Картер,Nelson Doubleday,,1977,английский язык
