publisherLabel,countryLabel,count
Mariner Books,США,1
Yedioth Books,Израиль,1
McClelland & Stewart,Канада,1
Mira Books,Канада,1
Mkuki na Nyota,Танзания,1
Mulholland Books,Великобритания,1
Pendragon Press,США,1
Philomel Books,США,1
Plume,США,1
Prime Books,США,1
Quercus,Великобритания,1
RE/Search,США,1
Red Deer Press,Канада,1
Running Press,США,1
The Donning Company,США,1
Feminist Press,США,1
The Overlook Press,США,1
Three Rivers Press,США,1
Издательство Миннесотского университета,США,1
University of Wisconsin Press,США,1
William Collins Sons & Co Ltd,Великобритания,1
"Albatros, nakladatelství pro děti a mládež",Чехия,1
Kadokawa Haruki Corporation,Япония,1
Polskie Towarzystwo Wydawców Książek,Польша,1
Веселка,Украина,1
Q12401604,Испания,1
Gwasg Gwynedd,Великобритания,1
Curtis Publishing Company,США,1
Headline Publishing Group,Великобритания,1
CreateSpace.com,США,1
Kindle Direct Publishing,США,1
Eos Press,США,1
Lethe Press,США,1
Издательство Южного Иллинойского университета,США,1
McGraw-Hill Education,США,1
Open Road Integrated Media,США,1
Debolsillo,Испания,1
"Издательство ""Жульяр""",,1
Николай Трюбнер,,1
Робинсон,,1
туз,,1
Futura,,1
Бруна,,1
Hillman Periodicals,,1
Вокруг света,,1
спектр,,1
La Plume,,1
Super Dash Bunko,,1
Weird Tales,,1
Джулио Эйнауди,,1
Foreign Languages Publishing House,,1
самостоятельная публикация,,1
Le Livre de Poche,,1
Henry Holt,,1
Джордж Ньюнс,,1
The Royal Magazine,,1
Verlag Das Neue Berlin,,1
Unknown,,1
Жюль Мишель,,1
Au Diable Vauvert,,1
Bragelonne,,1
New Worlds,,1
J'ai Lu,,1
Jean-Marc Lofficier,,1
Q3213929,,1
Présence du futur,,1
Robert Laffont,,1
JC Lattès,,1
R. Bemporad & figlio,,1
Ad Marginem,,1
Альфа-книга,,1
Ведза Повшехна,,1
Госиздат,,1
Знание,,1
Знание — сила,,1
Оленёнок,,1
Правда,,1
Художественная литература,,1
American Book Company,,1
Baen Ebooks,,1
Dragon Moon Press,,1
Editorial Losada,,1
Ernest Hecht,,1
FiXT,,1
Forerunner,,1
Фредерик Стокс,,1
Golden Gryphon Press,,1
Q5818728,,1
Incunabula,,1
Miraguano Ediciones,,1
J. M. Dent,,1
Джон Лэйн,,1
Mercat Press,,1
Mercury Publications,,1
Orb Books,,1
Orbit Publications,,1
Peter F. Collier,,1
Popular Library,,1
The Mercury Press,,1
Гранада,,1
Арес,,1
фламинго,,1
Альфред Абрахам Кнопф-старший,,1
http://www.wikidata.org/.well-known/genid/eefb98ad985cc71bf2c29596d4c0cb2d,,1
http://www.wikidata.org/.well-known/genid/6d707a3296da3f005e91804adc0cb7a2,,1
Winston Science Fiction,,1
Wydawnictwo Ministerstwa Obrony Narodowej,,1
Wydawnictwo Dolnośląskie,,1
Синтё Бунко,,1
Instytut Wydawniczy Latarnik,,1
Ксенжка и Видза,,1
Like Publishing,,1
Target Books,,1
Q12133953,,1
Q12724322,,1
Xlibris,,1
Q15881724,,1
Pocket Jeunesse,,1
Harper & Brothers,,1
Государственное издательство РСФСР,,1
Insight Editions,,1
Mulholland Books,,1
Средне-Уральское книжное издательство,,1
Spinifex Press,,1
Olympia,,1
Davis Publications Inc,,1
Saga Press,,1
HarperVoyager,,1
Editorial Almadía,,1
CAEZIK SF & Fantasy,,1
Yale Publishing Association,,1
Herbert Jenkins Ltd.,,1
Hanover Square Press,,1
Q132189069,,1
http://www.wikidata.org/.well-known/genid/88bad53bea830a4ad334d73e7c9e2f7c,,1
